Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,TB,Rotation,Comment
D44_64,D1608[0603]S,90.2838mm,63.0244mm,90.2838mm,63.0244mm,90.8141mm,63.5547mm,T,225,LED
D45_64,D1608[0603]S,92.265mm,63.0244mm,92.265mm,63.0244mm,92.7953mm,63.5547mm,T,225,LED
D46_64,D1608[0603]S,94.2462mm,63.0244mm,94.2462mm,63.0244mm,94.7765mm,63.5547mm,T,225,LED
D47_64,D1608[0603]S,96.2274mm,63.0244mm,96.2274mm,63.0244mm,96.7577mm,63.5547mm,T,225,LED
D48_64,D1608[0603]S,98.2086mm,63.0244mm,98.2086mm,63.0244mm,98.7389mm,63.5547mm,T,225,LED
D49_64,D1608[0603]S,100.1898mm,63.0244mm,100.1898mm,63.0244mm,100.7201mm,63.5547mm,T,225,LED
D50_64,D1608[0603]S,102.171mm,63.0244mm,102.171mm,63.0244mm,102.7013mm,63.5547mm,T,225,LED
D51_64,D1608[0603]S,104.1522mm,63.0244mm,104.1522mm,63.0244mm,104.6825mm,63.5547mm,T,225,LED
D52_64,D1608[0603]S,106.1334mm,63.0244mm,106.1334mm,63.0244mm,106.6637mm,63.5547mm,T,225,LED
D53_64,D1608[0603]S,108.1146mm,63.0244mm,108.1146mm,63.0244mm,108.6449mm,63.5547mm,T,225,LED
D54_64,D1608[0603]S,110.0958mm,63.0244mm,110.0958mm,63.0244mm,110.6261mm,63.5547mm,T,225,LED
D55_64,D1608[0603]S,112.077mm,63.0244mm,112.077mm,63.0244mm,112.6073mm,63.5547mm,T,225,LED
D56_64,D1608[0603]S,114.0582mm,63.0244mm,114.0582mm,63.0244mm,114.5885mm,63.5547mm,T,225,LED
D57_64,D1608[0603]S,116.0394mm,63.0244mm,116.0394mm,63.0244mm,116.5697mm,63.5547mm,T,225,LED
D58_64,D1608[0603]S,118.0206mm,63.0244mm,118.0206mm,63.0244mm,118.5509mm,63.5547mm,T,225,LED
